"Timestamp","Are you over the age of 18?","Do you ever experience challenges or specific needs when finding and using public washrooms?","In a typical week, how often do you use public washrooms outside your home?","How much effort does it usually take to locate a public washroom when you need one?","Have you ever changed your plans, delayed an outing, or avoided going somewhere because you weren’t sure a washroom would be available?","When using a public washroom, how often do you require accessibility features (e.g., grab bars, wider stalls, automatic doors, lower sinks)?","Which washroom features are most important to you? (Select up to 3)","Have you ever encountered a washroom labeled “accessible” that did not meet your needs?","How stressful do you find situations when you cannot locate a washroom quickly?","How confident are you that you can find a suitable public washroom when you leave home?","Have you ever used a digital tool (e.g., Google Maps, apps, websites) to locate a washroom?","When looking up a washroom online, which information would be most valuable? (Select all that apply)","How likely would you be to trust user reviews about a washroom’s accessibility?","Is there anything else you’d like to share about your experiences finding or using public washrooms?","What is your age group?","Do you identify as having a disability or condition that affects your mobility?","Do you live in the city of Toronto?"
"2025/09/25 7:34:04 PM AST","Yes","Yes – I sometimes face accessibility barriers (e.g., lack of information, unclear signage, cleanliness issues)","A few times per week","Neither easy nor difficult","Yes","Rarely","Cleanliness;Clear signage/directions;Automatic doors / touchless fixtures;Availability of gender-inclusive washrooms","Yes","Not stressful","Neutral","Yes, sometimes","Photos of the washroom;Cleanliness ratings","Somewhat likely","n/a","25–34","No","Yes, within central downtown Toronto"
"2025/09/25 8:15:54 PM AST","Yes","No – I generally do not experience challenges when finding or using public washrooms","","","","","","","","","","","","","","",""
"2025/09/25 8:49:20 PM AST","Yes","No – I generally do not experience challenges when finding or using public washrooms","","","","","","","","","","","","","","",""
"2025/09/25 8:56:37 PM AST","Yes","Yes – I sometimes face accessibility barriers (e.g., lack of information, unclear signage, cleanliness issues)","A few times per week","Neither easy nor difficult","No","Rarely","Cleanliness;Clear signage/directions","No","Somewhat stressful","Somewhat unconfident","Yes, sometimes","Photos of the washroom","Neutral","N/A","25–34","No","No, I live within the GTA or beyond"
"2025/09/25 10:23:01 PM AST","Yes","Yes – I sometimes face accessibility barriers (e.g., lack of information, unclear signage, cleanliness issues)","A few times per week","Neither easy nor difficult","Yes","Rarely","Cleanliness;Clear signage/directions;More privacy for urinals","No","Somewhat stressful","Neutral","Yes, sometimes","Cleanliness ratings;User reviews;Official certifications (e.g., accessibility compliance)","Somewhat likely","Never seems to be enough public washrooms— especially in publicly funded places such as subway stations, which I understand is due to the unwanted need for maintenance.","18–24","No","No, I live within the GTA or beyond"
"2025/09/25 10:53:10 PM AST","Yes","No – I generally do not experience challenges when finding or using public washrooms","","","","","","","","","","","","","","",""
"2025/09/25 10:53:29 PM AST","Yes","Yes – I often need urgent access to a washroom (e.g., medical, health, or personal reasons)","Multiple times per day","Somewhat difficult","Yes","Rarely","Cleanliness;Wide stalls or accessible layout;Availability of gender-inclusive washrooms","No","A little stressful","Somewhat confident","Yes, sometimes","Photos of the washroom;Cleanliness ratings;User reviews","Somewhat likely","No ","25–34","No","Yes, within central downtown Toronto"
"2025/09/26 12:58:18 AM AST","Yes","Yes – I sometimes face accessibility barriers (e.g., lack of information, unclear signage, cleanliness issues)","Once per day","Somewhat easy","Yes","Never","Cleanliness;Clear signage/directions;Automatic doors / touchless fixtures","No","Very stressful","Neutral","Yes, sometimes","Photos of the washroom;Cleanliness ratings;Real-time availability (occupied/free)","Somewhat likely","no","18–24","No","Yes, within midtown/uptown Toronto"
"2025/09/26 1:02:05 AM AST","Yes","Yes – I sometimes face accessibility barriers (e.g., lack of information, unclear signage, cleanliness issues)","Once per day","Somewhat difficult","Yes","Never","Cleanliness;Clear signage/directions;Availability of gender-inclusive washrooms","No","Somewhat stressful","Somewhat unconfident","Yes, often","Photos of the washroom;Cleanliness ratings;User reviews","Somewhat likely","there is not enough 😀","18–24","No","Yes, within midtown/uptown Toronto"
"2025/09/26 4:09:53 AM AST","Yes","Yes – I sometimes face accessibility barriers (e.g., lack of information, unclear signage, cleanliness issues)","A few times per week","Somewhat difficult","No","Never","Cleanliness;Clear signage/directions;Automatic doors / touchless fixtures","No","Very stressful","Somewhat unconfident","No, never","Cleanliness ratings;Real-time availability (occupied/free)","Neutral","Nothing","18–24","No","No, I live within the GTA or beyond"
"2025/09/26 10:13:32 AM AST","Yes","No – I generally do not experience challenges when finding or using public washrooms","","","","","","","","","","","","","","",""
"2025/09/27 10:57:21 PM AST","Yes","Yes – I sometimes face accessibility barriers (e.g., lack of information, unclear signage, cleanliness issues)","Multiple times per day","Somewhat difficult","Yes","Never","Cleanliness;Clear signage/directions;Automatic doors / touchless fixtures;In stall garbage bins","No","Somewhat stressful","Somewhat confident","No, never","Real-time availability (occupied/free)","Somewhat likely","N/A","18–24","No","Yes, within central downtown Toronto"
